Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BF10_S10_L001_R1_001	BF10_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33577.0	0.0	301.0	28.0	2.3825833159603302	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF10_S10_L001_R2_001	BF10_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33577.0	0.0	301.0	29.0	2.868034666587247	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF1_S1_L001_R1_001	BF1_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26485.0	0.0	301.0	28.0	2.6165754200490845	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF1_S1_L001_R2_001	BF1_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26485.0	0.0	301.0	29.0	3.1414007929016425	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF246_S246_L001_R1_001	BF246_S246_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	27.0	10.4	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF246_S246_L001_R2_001	BF246_S246_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	27.0	10.0	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF247_S247_L001_R1_001	BF247_S247_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	29.0	16.0	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
BF247_S247_L001_R2_001	BF247_S247_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	28.0	14.799999999999999	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
BF248_S248_L001_R1_001	BF248_S248_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	27.0	12.0	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
BF248_S248_L001_R2_001	BF248_S248_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	250.0	0.0	301.0	27.0	14.799999999999999	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
