Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BF10_S10_L001_R1_001	97.61741668403967	28.0	301.0	301	36.36363636363637	33577.0
BF10_S10_L001_R2_001	97.13196533341275	29.0	301.0	301	45.45454545454545	33577.0
BF1_S1_L001_R1_001	97.38342457995091	28.0	301.0	301	36.36363636363637	26485.0
BF1_S1_L001_R2_001	96.85859920709835	29.0	301.0	301	45.45454545454545	26485.0
BF246_S246_L001_R1_001	89.6	27.0	301.0	301	36.36363636363637	250.0
BF246_S246_L001_R2_001	90.0	27.0	301.0	301	36.36363636363637	250.0
BF247_S247_L001_R1_001	84.0	29.0	301.0	301	45.45454545454545	250.0
BF247_S247_L001_R2_001	85.2	28.0	301.0	301	45.45454545454545	250.0
BF248_S248_L001_R1_001	88.0	27.0	301.0	301	36.36363636363637	250.0
BF248_S248_L001_R2_001	85.2	27.0	301.0	301	36.36363636363637	250.0
BF249_S249_L001_R1_001	85.6	28.0	301.0	301	36.36363636363637	250.0
BF249_S249_L001_R2_001	89.2	28.0	301.0	301	36.36363636363637	250.0
BF250_S250_L001_R1_001	91.2	28.0	301.0	301	36.36363636363637	250.0
BF250_S250_L001_R2_001	87.2	28.0	301.0	301	36.36363636363637	250.0
BF251_S251_L001_R1_001	86.4	27.0	301.0	301	36.36363636363637	250.0
BF251_S251_L001_R2_001	86.4	27.0	301.0	301	36.36363636363637	250.0
BF252_S252_L001_R1_001	90.0	27.0	301.0	301	36.36363636363637	250.0
BF252_S252_L001_R2_001	85.6	27.0	301.0	301	36.36363636363637	250.0
BF253_S253_L001_R1_001	89.2	26.0	301.0	301	36.36363636363637	250.0
BF253_S253_L001_R2_001	84.8	25.0	301.0	301	36.36363636363637	250.0
BF254_S254_L001_R1_001	92.8	29.0	301.0	301	36.36363636363637	250.0
BF254_S254_L001_R2_001	88.0	29.0	301.0	301	36.36363636363637	250.0
BF255_S255_L001_R1_001	86.0	28.0	301.0	301	36.36363636363637	250.0
BF255_S255_L001_R2_001	87.6	28.0	301.0	301	36.36363636363637	250.0
BF256_S256_L001_R1_001	85.2	27.0	301.0	301	36.36363636363637	250.0
BF256_S256_L001_R2_001	84.8	26.0	301.0	301	36.36363636363637	250.0
BF257_S257_L001_R1_001	90.4	28.0	301.0	301	36.36363636363637	250.0
BF257_S257_L001_R2_001	90.4	27.0	301.0	301	36.36363636363637	250.0
BF258_S258_L001_R1_001	90.4	27.0	301.0	301	36.36363636363637	250.0
BF258_S258_L001_R2_001	86.8	27.0	301.0	301	36.36363636363637	250.0
BF259_S259_L001_R1_001	88.4	27.0	301.0	301	36.36363636363637	250.0
BF259_S259_L001_R2_001	86.8	26.0	301.0	301	36.36363636363637	250.0
BF260_S260_L001_R1_001	87.2	27.0	301.0	301	36.36363636363637	250.0
BF260_S260_L001_R2_001	83.2	27.0	301.0	301	36.36363636363637	250.0
BF261_S261_L001_R1_001	88.4	26.0	301.0	301	36.36363636363637	250.0
BF261_S261_L001_R2_001	88.8	26.0	301.0	301	36.36363636363637	250.0
BF262_S262_L001_R1_001	85.6	26.0	301.0	301	36.36363636363637	250.0
BF262_S262_L001_R2_001	88.8	26.0	301.0	301	36.36363636363637	250.0
BF263_S263_L001_R1_001	90.8	26.0	301.0	301	36.36363636363637	250.0
BF263_S263_L001_R2_001	84.0	26.0	301.0	301	36.36363636363637	250.0
BF2_S2_L001_R1_001	97.55784061696659	28.0	301.0	301	36.36363636363637	28008.0
BF2_S2_L001_R2_001	97.13653241930876	29.0	301.0	301	45.45454545454545	28008.0
BF3_S3_L001_R1_001	97.23297213622291	28.0	301.0	301	36.36363636363637	25840.0
BF3_S3_L001_R2_001	96.11455108359134	28.0	301.0	301	45.45454545454545	25840.0
BF4_S4_L001_R1_001	97.66937669376694	28.0	301.0	301	36.36363636363637	29520.0
BF4_S4_L001_R2_001	97.28658536585365	28.0	301.0	301	45.45454545454545	29520.0
BF5_S5_L001_R1_001	97.57154108689944	28.0	301.0	301	27.27272727272727	30472.0
BF5_S5_L001_R2_001	96.53452349698084	29.0	301.0	301	45.45454545454545	30472.0
BF6_S6_L001_R1_001	97.78922716627635	28.0	301.0	301	36.36363636363637	32025.0
BF6_S6_L001_R2_001	97.08352849336455	29.0	301.0	301	45.45454545454545	32025.0
BF7_S7_L001_R1_001	97.67102359531489	28.0	301.0	301	27.27272727272727	29455.0
BF7_S7_L001_R2_001	96.95807163469699	29.0	301.0	301	45.45454545454545	29455.0
BF8_S8_L001_R1_001	97.37295277177299	28.0	301.0	301	36.36363636363637	27293.0
BF8_S8_L001_R2_001	97.24471476202689	29.0	301.0	301	45.45454545454545	27293.0
BF9_S9_L001_R1_001	97.48078725398312	28.0	301.0	301	36.36363636363637	26675.0
BF9_S9_L001_R2_001	96.56607310215557	29.0	301.0	301	36.36363636363637	26675.0
