read_type,read_ct,sample,target
Input Read Pairs,33577,BF10,NA
Both Surviving Reads,32298,BF10,NA
Forward Only Surviving Reads,454,BF10,NA
Reverse Only Surviving Reads,659,BF10,NA
Dropped Reads,166,BF10,NA
Input Read Pairs,26485,BF1,NA
Both Surviving Reads,25565,BF1,NA
Forward Only Surviving Reads,359,BF1,NA
Reverse Only Surviving Reads,461,BF1,NA
Dropped Reads,100,BF1,NA
Input Read Pairs,28008,BF2,NA
Both Surviving Reads,26932,BF2,NA
Forward Only Surviving Reads,412,BF2,NA
Reverse Only Surviving Reads,516,BF2,NA
Dropped Reads,148,BF2,NA
Input Read Pairs,25840,BF3,NA
Both Surviving Reads,24730,BF3,NA
Forward Only Surviving Reads,443,BF3,NA
Reverse Only Surviving Reads,504,BF3,NA
Dropped Reads,163,BF3,NA
Input Read Pairs,29520,BF4,NA
Both Surviving Reads,28500,BF4,NA
Forward Only Surviving Reads,392,BF4,NA
Reverse Only Surviving Reads,546,BF4,NA
Dropped Reads,82,BF4,NA
Input Read Pairs,30472,BF5,NA
Both Surviving Reads,29347,BF5,NA
Forward Only Surviving Reads,455,BF5,NA
Reverse Only Surviving Reads,533,BF5,NA
Dropped Reads,137,BF5,NA
Input Read Pairs,32025,BF6,NA
Both Surviving Reads,30863,BF6,NA
Forward Only Surviving Reads,444,BF6,NA
Reverse Only Surviving Reads,591,BF6,NA
Dropped Reads,127,BF6,NA
Input Read Pairs,29455,BF7,NA
Both Surviving Reads,28429,BF7,NA
Forward Only Surviving Reads,391,BF7,NA
Reverse Only Surviving Reads,524,BF7,NA
Dropped Reads,111,BF7,NA
Input Read Pairs,27293,BF8,NA
Both Surviving Reads,26279,BF8,NA
Forward Only Surviving Reads,303,BF8,NA
Reverse Only Surviving Reads,609,BF8,NA
Dropped Reads,102,BF8,NA
Input Read Pairs,26675,BF9,NA
Both Surviving Reads,25541,BF9,NA
Forward Only Surviving Reads,477,BF9,NA
Reverse Only Surviving Reads,514,BF9,NA
Dropped Reads,143,BF9,NA
filt,11777,BF1,ama
prefilt,13072,BF1,ama
filt,11352,BF1,csp
prefilt,12491,BF1,csp
filt,13384,BF10,ama
prefilt,14875,BF10,ama
filt,15886,BF10,csp
prefilt,17422,BF10,csp
filt,13718,BF2,ama
prefilt,15269,BF2,ama
filt,10659,BF2,csp
prefilt,11659,BF2,csp
filt,8491,BF3,ama
prefilt,10116,BF3,ama
filt,13099,BF3,csp
prefilt,14611,BF3,csp
filt,12226,BF4,ama
prefilt,13672,BF4,ama
filt,13584,BF4,csp
prefilt,14828,BF4,csp
filt,11119,BF5,ama
prefilt,12650,BF5,ama
filt,15006,BF5,csp
prefilt,16695,BF5,csp
filt,13085,BF6,ama
prefilt,14591,BF6,ama
filt,14725,BF6,csp
prefilt,16269,BF6,csp
filt,11350,BF7,ama
prefilt,12760,BF7,ama
filt,14179,BF7,csp
prefilt,15668,BF7,csp
filt,10326,BF8,ama
prefilt,11474,BF8,ama
filt,13359,BF8,csp
prefilt,14801,BF8,csp
filt,10560,BF9,ama
prefilt,12432,BF9,ama
filt,11500,BF9,csp
prefilt,13108,BF9,csp
