Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
BF10_S10_L001_R1_001	97.61741668403967	28.0	301.0	301	36.36363636363637	33577.0
BF10_S10_L001_R2_001	97.13196533341275	29.0	301.0	301	45.45454545454545	33577.0
BF1_S1_L001_R1_001	97.38342457995091	28.0	301.0	301	36.36363636363637	26485.0
BF1_S1_L001_R2_001	96.85859920709835	29.0	301.0	301	45.45454545454545	26485.0
BF2_S2_L001_R1_001	97.55784061696659	28.0	301.0	301	36.36363636363637	28008.0
BF2_S2_L001_R2_001	97.13653241930876	29.0	301.0	301	45.45454545454545	28008.0
BF3_S3_L001_R1_001	97.23297213622291	28.0	301.0	301	36.36363636363637	25840.0
BF3_S3_L001_R2_001	96.11455108359134	28.0	301.0	301	45.45454545454545	25840.0
BF4_S4_L001_R1_001	97.66937669376694	28.0	301.0	301	36.36363636363637	29520.0
BF4_S4_L001_R2_001	97.28658536585365	28.0	301.0	301	45.45454545454545	29520.0
BF5_S5_L001_R1_001	97.57154108689944	28.0	301.0	301	27.27272727272727	30472.0
BF5_S5_L001_R2_001	96.53452349698084	29.0	301.0	301	45.45454545454545	30472.0
BF6_S6_L001_R1_001	97.78922716627635	28.0	301.0	301	36.36363636363637	32025.0
BF6_S6_L001_R2_001	97.08352849336455	29.0	301.0	301	45.45454545454545	32025.0
BF7_S7_L001_R1_001	97.67102359531489	28.0	301.0	301	27.27272727272727	29455.0
BF7_S7_L001_R2_001	96.95807163469699	29.0	301.0	301	45.45454545454545	29455.0
BF8_S8_L001_R1_001	97.37295277177299	28.0	301.0	301	36.36363636363637	27293.0
BF8_S8_L001_R2_001	97.24471476202689	29.0	301.0	301	45.45454545454545	27293.0
BF9_S9_L001_R1_001	97.48078725398312	28.0	301.0	301	36.36363636363637	26675.0
BF9_S9_L001_R2_001	96.56607310215557	29.0	301.0	301	36.36363636363637	26675.0
