sample,NA_Input Read Pairs,NA_Both Surviving Reads,NA_Forward Only Surviving Reads,NA_Reverse Only Surviving Reads,NA_Dropped Reads,ama_filt,ama_prefilt,csp_filt,csp_prefilt
BF10,33577,32298,454,659,166,13384,14875,15886,17422
BF1,26485,25565,359,461,100,11777,13072,11352,12491
BF2,28008,26932,412,516,148,13718,15269,10659,11659
BF3,25840,24730,443,504,163,8491,10116,13099,14611
BF4,29520,28500,392,546,82,12226,13672,13584,14828
BF5,30472,29347,455,533,137,11119,12650,15006,16695
BF6,32025,30863,444,591,127,13085,14591,14725,16269
BF7,29455,28429,391,524,111,11350,12760,14179,15668
BF8,27293,26279,303,609,102,10326,11474,13359,14801
BF9,26675,25541,477,514,143,10560,12432,11500,13108
