"","sample","reads.in","reads.out","merged","tabled","nonchim"
"1","BF1",13072,11777,11768,11768,11768
"2","BF10",14875,13384,13377,13377,13377
"3","BF2",15269,13718,13681,13681,13681
"4","BF246",0,0,NA,NA,NA
"5","BF247",0,0,NA,NA,NA
"6","BF248",0,0,NA,NA,NA
"7","BF249",0,0,NA,NA,NA
"8","BF250",0,0,NA,NA,NA
"9","BF251",0,0,NA,NA,NA
"10","BF252",0,0,NA,NA,NA
"11","BF253",0,0,NA,NA,NA
"12","BF254",0,0,NA,NA,NA
"13","BF255",0,0,NA,NA,NA
"14","BF256",0,0,NA,NA,NA
"15","BF257",0,0,NA,NA,NA
"16","BF258",0,0,NA,NA,NA
"17","BF259",0,0,NA,NA,NA
"18","BF260",0,0,NA,NA,NA
"19","BF261",0,0,NA,NA,NA
"20","BF262",0,0,NA,NA,NA
"21","BF263",0,0,NA,NA,NA
"22","BF3",10116,8491,8450,8450,8450
"23","BF4",13672,12226,12211,12211,12211
"24","BF5",12650,11119,10584,10584,10360
"25","BF6",14591,13085,13078,13078,13078
"26","BF7",12760,11350,11049,11049,10773
"27","BF8",11474,10326,10314,10314,10314
"28","BF9",12432,10560,10549,10549,10549
