sample,NA_Input Read Pairs,NA_Both Surviving Reads,NA_Forward Only Surviving Reads,NA_Reverse Only Surviving Reads,NA_Dropped Reads,ama_prefilt,ama/out/fastq/all_samples/final_filtered/bf1_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf1_final_r_filt.fastq.gz_filt,csp_prefilt,csp/out/fastq/all_samples/final_filtered/bf1_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf1_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf10_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf10_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf10_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf10_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf2_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf2_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf2_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf2_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf3_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf3_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf3_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf3_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf4_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf4_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf4_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf4_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf5_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf5_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf5_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf5_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf6_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf6_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf6_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf6_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf7_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf7_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf7_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf7_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf8_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf8_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf8_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf8_final_r_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf9_final_f_filt.fastq.gz_filt,ama/out/fastq/all_samples/final_filtered/bf9_final_r_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf9_final_f_filt.fastq.gz_filt,csp/out/fastq/all_samples/final_filtered/bf9_final_r_filt.fastq.gz_filt
BF10,33577,32298,454,659,166,14875,NA,NA,17422,NA,NA,13384,13384,15886,15886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF1,26485,25565,359,461,100,13072,11777,11777,12491,11352,11352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF246,250,247,2,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF247,250,237,2,10,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF248,250,243,5,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF249,250,240,2,7,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF250,250,242,3,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF251,250,242,3,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF252,250,243,3,2,2,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF253,250,249,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF254,250,244,3,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BF255,250,244,1,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
